FID,Shape,author,year,family,genus,species,bodymass_g_pantheria,Dmin,D,Log10 D,Dmax,SE,Coeficient of variation,dispersion,detection_method,new_detection_method,analitical_method,new_analitical_method,method,place,environment,new_environment,Lat,Long,sampling_effort,effort_unit,season,link,doi,country,state_province,annual_precipitation,Altitude
59,Point,Tobler et al.,2013,Tapiridae,Tapirus,terrestris,169496.6,0.15,0.32,-0.494850022,0.49,0.17,0.53125,SE,camera_trap,camera_trap,CMR,CMR,camera_trap_CMR,Nouragues Nature Reserve,Forest,Open Forest,4.04,-53,6191,camera trap days,year_long,NA,10.1017/S0030605312001652,French Guiana,Cayenne,3001,83
60,Point,Fragoso,1998,Tayassuidae,Tayassu,pecari,31798.71,NA,8.1,0.908485019,NA,NA,NA,NA,radio_collar,radio_collar,Home range,Home range,radio_collar_Home range,Maraca Island,Amazon Rain forest,Dense Forest,3.369275,-61,NA,NA,year_long,NA,10.1111/j.1744-7429.1998.tb00080.x,Brazil,Roraima,1962,96
61,Point,Mendes Pontes,2004,Tapiridae,Tapirus,terrestris,169496.6,NA,3.3,0.51851394,NA,NA,NA,CI,sighting,sighting,Distance,Distance,sighting_Distance,Maracá Ecological Station,Tropical forest,Dense Forest,3.393837,-62,4650,m,year_long,NA,https://doi.org/10.1078/1616-5047-00151,Brazil,Roraima,2109,100
62,Point,Mendes Pontes,2004,Tapiridae,Tapirus,terrestris,169496.6,NA,3.7,0.568201724,NA,NA,NA,CI,sighting,sighting,Distance,Distance,sighting_Distance,Maracá Ecological Station,Tropical forest,Dense Forest,3.393837,-62,5350,m,year_long,NA,https://doi.org/10.1078/1616-5047-00152,Brazil,Roraima,2109,100
63,Point,Pontes et al,2010,Tayassuidae,Dicotyles,tajacu,21133.69,NA,26,1.414973348,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Estação Ecologica do Maracá,Tropical forest,Dense Forest,3.250225,-61,1013.12,km2,year_long,Livro completo.pmd (researchgate.net),NA,Brazil,Roraima,1916,98
64,Point,Pontes et al,2010,Tayassuidae,Dicotyles,tajacu,21133.69,NA,18.9,1.276461804,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Estação Ecologica do Maracá,Tropical forest,Dense Forest,3.250225,-61,1013.12,km2,year_long,Livro completo.pmd (researchgate.net),NA,Brazil,Roraima,1916,98
65,Point,Pontes et al,2010,Tayassuidae,Tayassu,pecari,31798.71,NA,66.5,1.822821645,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Estação Ecologica do Maracá,Tropical forest,Dense Forest,3.250225,-61,1013.12,km2,year_long,Livro completo.pmd (researchgate.net),NA,Brazil,Roraima,1916,98
66,Point,Pontes et al,2010,Tayassuidae,Tayassu,pecari,31798.71,NA,21,1.322219295,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Estação Ecologica do Maracá,Tropical forest,Dense Forest,3.250225,-61,1013.12,km2,year_long,Livro completo.pmd (researchgate.net),NA,Brazil,Roraima,1916,98
67,Point,Stevenson,1996,Tapiridae,Tapirus,terrestris,169496.6,NA,0.7,-0.15490196,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Tinigua National Park,Tropical rainforest,Dense Forest,2.666667,-74,821,km,year_long,https://revistas.javeriana.edu.co/index.php/scientarium/article/view/5057/3903,NA,Colombia,Meta,2288,275
68,Point,Stevenson,1996,Cervidae,Mazama,americana,20546.86,NA,2,0.301029996,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Tinigua National Park,Tropical rainforest,Dense Forest,2.666667,-74,821,km,year_long,https://revistas.javeriana.edu.co/index.php/scientarium/article/view/5057/3903,NA,Colombia,Meta,2288,275
69,Point,Stevenson,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,11,1.041392685,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Tinigua National Park,Tropical rainforest,Dense Forest,2.666667,-74,821,km,year_long,https://revistas.javeriana.edu.co/index.php/scientarium/article/view/5057/3903,NA,Colombia,Meta,2288,275
70,Point,Pontes et al,2010,Tayassuidae,Tayassu,pecari,31798.71,NA,7,0.84509804,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Parque Nacional do Viruá,Tropical forest,Dense Forest,1.583399,-61,2270.11,km2,autumn,Livro completo.pmd (researchgate.net),NA,Brazil,Roraima,1866,69
71,Point,Castellanos,2013,Tapiridae,Tapirus,pinchaque,156923.4,NA,0.28,-0.552841969,NA,NA,NA,NA,radio_collar,radio_collar,Home range extrapolation,Home range,radio_collar_Home range,Cayambe Coca National Park,Ñucanchi Turubamba wetland System,Dense Forest,-0.33,-78,7,individuals,several,NA,NA,Ecuador,Napo,1179,3805
72,Point,Castellanos,2013,Tapiridae,Tapirus,pinchaque,156923.4,NA,0.3,-0.522878745,NA,NA,NA,NA,radio_collar,radio_collar,Home range extrapolation,Home range,radio_collar_Home range,Cayambe Coca National Park,Ñucanchi Turubamba wetland System,Dense Forest,-0.33,-78,7,individuals,several,NA,NA,Ecuador,Napo,1179,3805
73,Point,Castellanos,2013,Tapiridae,Tapirus,pinchaque,156923.4,NA,0.32,-0.494850022,NA,NA,NA,NA,radio_collar,radio_collar,Home range extrapolation,Home range,radio_collar_Home range,Cayambe Coca National Park,Ñucanchi Turubamba wetland System,Dense Forest,-0.33,-78,7,individuals,several,NA,NA,Ecuador,Napo,1179,3805
74,Point,Castellanos,2013,Tapiridae,Tapirus,pinchaque,156923.4,NA,0.4,-0.397940009,NA,NA,NA,NA,radio_collar,radio_collar,Home range extrapolation,Home range,radio_collar_Home range,Cayambe Coca National Park,Ñucanchi Turubamba wetland System,Dense Forest,-0.33,-78,7,individuals,several,NA,NA,Ecuador,Napo,1179,3805
75,Point,Iwanaga,2004,Cervidae,Passalites,nemorivaga,14700,NA,0.6,-0.22184875,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-1.913131,-63,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2640,36
76,Point,Iwanaga,2004,Cervidae,Passalites,nemorivaga,14700,NA,0.3,-0.522878745,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-1.877445,-62,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2562,34
77,Point,Iwanaga,2004,Tayassuidae,Dicotyles,tajacu,21133.69,NA,0.3,-0.522878745,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-1.877445,-62,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2562,34
78,Point,Iwanaga,2004,Cervidae,Mazama,americana,20546.86,NA,1.3,0.113943352,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-1.877445,-62,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2562,34
79,Point,Aquino et al,2007,Tapiridae,Tapirus,terrestris,169496.6,0.45426,0.67,-0.173925197,0.88574,0.21574,0.322,CV,sighting,sighting,Distance,Distance,sighting_Distance,Rio Algodón,Tropical rainforest,Dense Forest,-2.578139,-72,200,km,winter,NA,10.15381/rpb.v14i2.1730,Peru,Loreto,2953,102
80,Point,Aquino et al,2007,Cervidae,Mazama,americana,20546.86,0.5054,0.7,-0.15490196,0.8946,0.1946,0.278,CV,sighting,sighting,Distance,Distance,sighting_Distance,Rio Algodón,Tropical rainforest,Dense Forest,-2.578139,-72,200,km,winter,NA,10.15381/rpb.v14i2.1730,Peru,Loreto,2953,102
81,Point,Aquino et al,2007,Tayassuidae,Dicotyles,tajacu,21133.69,2.151,3,0.477121255,3.849,0.849,0.283,CV,sighting,sighting,Distance,Distance,sighting_Distance,Rio Algodón,Tropical rainforest,Dense Forest,-2.578139,-72,200,km,winter,NA,10.15381/rpb.v14i2.1730,Peru,Loreto,2953,102
82,Point,Aquino et al,2007,Tayassuidae,Tayassu,pecari,31798.71,NA,9.8,0.991226076,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Rio Algodón,Tropical rainforest,Dense Forest,-2.578139,-72,200,km,winter,NA,10.15381/rpb.v14i2.1730,Peru,Loreto,2953,102
83,Point,Iwanaga,2004,Cervidae,Mazama,americana,20546.86,NA,0.3,-0.522878745,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-2.62462,-63,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2623,38
84,Point,Iwanaga,2004,Cervidae,Passalites,nemorivaga,14700,NA,0.6,-0.22184875,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-2.62462,-63,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2623,38
85,Point,Iwanaga,2004,Tayassuidae,Dicotyles,tajacu,21133.69,NA,0.9,-0.045757491,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Jau National Park,Tropical rainforest,Dense Forest,-2.62462,-63,150,km,year_long,NA,Iwanaga S. 2004. Levantamento de mamíferos diurnos de médio e grande porte no Parque Nacional do Jaú: Resultados preliminares. In: Janelas para a Biodiversidade no Parque Nacional do Jaú: Uma estratégia para o estudo da biodiversidade na Amazônia.,Brazil,Amazonas,2623,38
86,Point,Zapata-Rios et al,2009,Tapiridae,Tapirus,terrestris,169496.6,0.27,0.87,-0.060480747,1.47,0.6,0.689655172,SE,sighting,sighting,Hayne’s estimator,Distance,sighting_Distance,Miasal,upland moist tropical forest and pre-montane tropical wet forest,Dense Forest,-2.622421,-78,380,km,year_long,NA,10.1017/S003060530900191,Ecuador,Morona Santiago,2843,440
87,Point,Zapata-Rios et al,2009,Tayassuidae,Dicotyles,tajacu,21133.69,1.99,4.29,0.632457292,6.59,2.3,0.536130536,SE,sighting,sighting,Hayne’s estimator,Distance,sighting_Distance,Miasal,upland moist tropical forest and pre-montane tropical wet forest,Dense Forest,-2.622421,-78,380,km,year_long,NA,10.1017/S003060530900191,Ecuador,Morona Santiago,2843,440
88,Point,Zapata-Rios et al,2009,Cervidae,Mazama,americana,20546.86,3.97,4.67,0.669316881,5.37,0.7,0.149892934,SE,sighting,sighting,Hayne’s estimator,Distance,sighting_Distance,Miasal,upland moist tropical forest and pre-montane tropical wet forest,Dense Forest,-2.622421,-78,380,km,year_long,NA,10.1017/S003060530900191,Ecuador,Morona Santiago,2843,440
89,Point,Puertas et al.,2017,Cervidae,Passalites,nemorivaga,14700,NA,0.34,-0.468521083,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Ampiyacu apayacu - Nordeste da Amazônia Peruana,floresta amazonica,Dense Forest,-3.08,-73,322,km,year_long,NA,10.24841/fa.v26i1.417,Peru,Loreto,3127,104
90,Point,Puertas et al.,2017,Tayassuidae,Dicotyles,tajacu,21133.69,NA,1.3,0.113943352,NA,NA,NA,NA,NA,NA,distance,Distance,NA_Distance,Ampiyacu apayacu - Nordeste da Amazônia Peruana,floresta amazonica,Dense Forest,-3.08,-73,3,trails,year_long,NA,10.24841/fa.v26i1.417,Peru,Loreto,3127,104
91,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,2,0.301029996,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-3.316667,-66,107,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2925,59
92,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,2,0.301029996,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-3.283333,-66,110,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2909,67
93,Point,Hurtado-González & Bodmer,2004,Cervidae,Passalites,nemorivaga,14700,0.09,0.18,-0.744727495,0.27,0.09,0.5,SD,sighting,sighting,Distance,Distance,sighting_Distance,Tamshiyacu-Tahuayo Communal Reserve - Peru,floresta amazonica,Dense Forest,-4.3,-73,941,km,year_long,NA,NA,Peru,Loreto,2662,104
94,Point,Hurtado-González & Bodmer,2004,Cervidae,Passalites,nemorivaga,14700,0.32,0.39,-0.408935393,0.46,0.07,0.17948718,SD,sighting,sighting,Distance,Distance,sighting_Distance,Tamshiyacu-Tahuayo Communal Reserve - Peru,floresta amazonica,Dense Forest,-4.3,-73,923,km,year_long,NA,NA,Peru,Loreto,2662,104
95,Point,Hurtado-González & Bodmer,2004,Cervidae,Mazama,americana,20546.86,0.7,1.14,0.056904851,1.44,0.3,0.263157895,SD,sighting,sighting,Distance,Distance,sighting_Distance,Tamshiyacu-Tahuayo Communal Reserve - Peru,floresta amazonica,Dense Forest,-4.3,-73,941,km,year_long,NA,NA,Peru,Loreto,2662,104
96,Point,Hurtado-González & Bodmer,2004,Cervidae,Mazama,americana,20546.86,0.87,1.16,0.064457989,1.45,0.29,0.25,SD,sighting,sighting,Distance,Distance,sighting_Distance,Tamshiyacu-Tahuayo Communal Reserve - Peru,floresta amazonica,Dense Forest,-4.3,-73,923,km,year_long,NA,NA,Peru,Loreto,2662,104
97,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,6.5,0.812913357,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-4.35,-67,50,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2639,65
98,Point,Haugaasen & Peres,2005,Tapiridae,Tapirus,terrestris,169496.6,NA,0.23,-0.638272164,NA,NA,NA,SE,sighting,sighting,Distance,Distance,sighting_Distance,Lago Uauaçu,Tropical rainforest,Dense Forest,-4.328302,-62,2192,km,year_long,NA,10.1017/S026646740400207X,Brazil,Amazonas,2557,38
99,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,4.9,0.69019608,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-4.466667,-67,44,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2619,72
100,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,10.7,1.029383778,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-4.45,-64,51,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2302,63
101,Point,Bodmer,1989,Cervidae,Passalites,nemorivaga,14700,NA,0.83,-0.080921908,NA,NA,NA,NA,sighting,sighting,Fourier series,Distance,sighting_Distance,Iquitos - Peru,Amazon Rain forest,Dense Forest,-4.56,-73,150,km,NA,NA,10.1007/BF00378967,Peru,Loreto,2636,101
102,Point,Bodmer,1989,Cervidae,Mazama,americana,20546.86,NA,1.8,0.255272505,NA,NA,NA,NA,sighting,sighting,Fourier series,Distance,sighting_Distance,Iquitos - Peru,Amazon Rain forest,Dense Forest,-4.56,-73,150,km,NA,NA,10.1007/BF00378967,Peru,Loreto,2636,101
103,Point,Salovaara et al.,2003,Cervidae,Passalites,nemorivaga,14700,NA,0.43,-0.366531544,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Yavari valley,floresta amazonica,Dense Forest,-4.55,-72,1827,km,year_long,NA,NA,Peru,Loreto,2724,100
104,Point,Salovaara et al.,2003,Cervidae,Passalites,nemorivaga,14700,NA,0.7,-0.15490196,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Yavari valley,floresta amazonica,Dense Forest,-4.55,-72,1827,km,year_long,NA,NA,Peru,Loreto,2724,100
105,Point,Salovaara et al.,2003,Cervidae,Passalites,nemorivaga,14700,NA,0.96,-0.017728767,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Yavari valley,floresta amazonica,Dense Forest,-4.55,-72,1827,km,year_long,NA,NA,Peru,Loreto,2724,100
106,Point,Salovaara et al.,2003,Cervidae,Passalites,nemorivaga,14700,NA,1.05,0.021189299,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Yavari valley,floresta amazonica,Dense Forest,-4.55,-72,1827,km,year_long,NA,NA,Peru,Loreto,2724,100
107,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,8.8,0.944482672,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-4.7,-65,124,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2388,94
108,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,8.9,0.949390007,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-4.833333,-65,359,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2403,89
109,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,11.6,1.064457989,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-4.983333,-65,47,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2481,94
110,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,1.9,0.278753601,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-5.083333,-67,56,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2561,72
111,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,3.8,0.579783597,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-6.583333,-69,113,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2434,99
112,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,10,1,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-6.75,-71,119,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Amazonas,2461,194
113,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,3.1,0.491361694,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-7.766667,-52,173,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Pará,1966,297
114,Point,Peres,1996,Tayassuidae,Dicotyles,tajacu,21133.69,NA,2.4,0.380211242,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Amazon,Forest,Dense Forest,-9.383333,-72,91,km,year_long,NA,10.1016/0006-3207(96)00010-9,Brazil,Acre,1731,280
115,Point,Oliveira et al,2022,Cervidae,Subulo,gouazoubira,16633.17,NA,1.875442,0.273103638,NA,NA,NA,NA,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Parque Nacional Serra de Itabaiana,Atlantic forest,Dense Forest,-10.759627,-37,1733,m,autumn,personal data,NA,Brazil,Sergipe,1438,254
116,Point,Endo et al.,2010,Tayassuidae,Dicotyles,tajacu,21133.69,1.79928,3.78,0.5774918,5.76072,1.98072,0.524,CV,sighting,sighting,Distance,Distance,sighting_Distance,Manu National Park,Tropical rainforest,Dense Forest,-11.731749,-72,235,km,summer_autumn_winter,NA,10.1111/j.1744-7429.2009.00546.x,Peru,Madre de Dios,2355,382
117,Point,Endo et al.,2010,Tayassuidae,Tayassu,pecari,31798.71,3.2074,5.8,0.763427994,8.3926,2.5926,0.447,CV,sighting,sighting,Distance,Distance,sighting_Distance,Manu National Park,Tropical rainforest,Dense Forest,-11.731749,-72,235,km,summer_autumn_winter,NA,10.1111/j.1744-7429.2009.00546.x,Peru,Madre de Dios,2355,382
118,Point,Endo et al.,2010,Tayassuidae,Dicotyles,tajacu,21133.69,3.0508,5.8,0.763427994,8.5492,2.7492,0.474,CV,sighting,sighting,Distance,Distance,sighting_Distance,Manu National Park,Tropical rainforest,Dense Forest,-11.86402,-72,226,km,summer_autumn_winter,NA,10.1111/j.1744-7429.2009.00546.x,Peru,Madre de Dios,2443,397
